name,feature_set,preprocessor,sampler,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,test50_accuracy,test50_precision,test50_recall,test50_f1,test50_roc_auc,test50_pr_auc,test50_tn,test50_fp,test50_fn,test50_tp,best_accuracy_threshold,best_accuracy,best_accuracy_f1,best_accuracy_recall,best_f1_threshold,best_f1,best_f1_accuracy,best_cost_threshold,best_cost,best_cost_recall,best_iteration
CatBoost native rich 2,rich,catboost-native,none,0.8051133095140905,0.6729904541893033,0.5183946488294314,0.5854256135090363,0.8503232311190564,0.6718850592814597,0.794180269694819,0.6627906976744186,0.4572192513368984,0.5411392405063291,0.8341884316308869,0.639889142594948,948,87,203,171,0.5,0.794180269694819,0.5411392405063291,0.4572192513368984,0.4,0.6261980830670927,0.7508871540099361,0.29,621.0,0.9491978609625669,20.0
Stacking rich gb-xgb-lgbm-lr,rich,ensemble,none,0.8065328502240344,0.6762112223417847,0.5210702341137123,0.5880519365510265,0.8502866245684253,0.6712823203919644,0.8105039034776437,0.6890459363957597,0.5213903743315508,0.593607305936073,0.8483556795577256,0.6606464899775584,947,88,179,195,0.51,0.8112136266855926,0.5920245398773006,0.516042780748663,0.3,0.6365795724465558,0.7828246983676366,0.11,601.0,0.9144385026737968,
CatBoost native rich 1,rich,catboost-native,none,0.8072422265685948,0.6781671539320022,0.5250836120401338,0.5907027108873035,0.8500673388803328,0.6700170213977167,0.8034066713981547,0.6750902527075813,0.5,0.5745007680491552,0.8445619881681263,0.6613378305083503,945,90,187,187,0.47,0.8034066713981547,0.6025824964131994,0.5614973262032086,0.3,0.6340378197997776,0.7665010645848119,0.14,608.0,0.9197860962566845,147.0
CatBoost native rich 5,rich,catboost-native,none,0.8063547575181126,0.6763235224213862,0.5183946488294315,0.5860295574877676,0.8477145177860976,0.6698436437115095,0.7998580553584103,0.6729323308270677,0.4786096256684492,0.559375,0.8416479371722339,0.6548278592985801,948,87,195,179,0.48,0.8055358410220014,0.5958702064896755,0.5401069518716578,0.33,0.6311010215664018,0.7693399574166075,0.16,613.0,0.9197860962566845,88.0
LR no-smote rich,rich,ohe,none,0.8035153608898963,0.663807375920183,0.5257525083612041,0.5863315622413057,0.8480203621489683,0.6696573636782016,0.8048261178140526,0.6655518394648829,0.5320855614973262,0.5913818722139673,0.8476710842439742,0.6596341243541788,935,100,175,199,0.53,0.8097941802696949,0.58125,0.49732620320855614,0.34,0.6334106728538283,0.7757274662881476,0.14,594.0,0.9090909090909091,
Voting rich gb-xgb-lgbm-lr,rich,ensemble,none,0.8047579121230699,0.6676435638225804,0.5270903010033445,0.5885728130751667,0.8501838738114775,0.6695750158100652,0.8105039034776437,0.6838487972508591,0.5320855614973262,0.5984962406015037,0.8480172569686636,0.6602627721430081,943,92,175,199,0.5,0.8105039034776437,0.5984962406015037,0.5320855614973262,0.34,0.6392479435957696,0.7821149751596878,0.13,596.0,0.9224598930481284,
CatBoost native rich 3,rich,catboost-native,none,0.8045809226463,0.6699055384500443,0.5230769230769231,0.5869008385692774,0.8500040187153743,0.6679573914924799,0.8041163946061036,0.6678082191780822,0.5213903743315508,0.5855855855855856,0.8456547572915859,0.6597228730944136,938,97,179,195,0.49,0.8048261178140526,0.5937961595273265,0.5374331550802139,0.37,0.637125748502994,0.7849538679914834,0.13,603.0,0.9278074866310161,117.0
XGB rich 2,rich,ohe,none,0.8047583849355636,0.6646925190565698,0.5344481605351171,0.5920185436105244,0.8499305076782372,0.6678662673686724,0.8076650106458482,0.6794425087108014,0.5213903743315508,0.5900151285930408,0.8472977860445892,0.6627773094404439,943,92,179,195,0.5,0.8076650106458482,0.5900151285930408,0.5213903743315508,0.36,0.6432889963724304,0.7906316536550745,0.12,603.0,0.9278074866310161,
XGB rich 1,rich,ohe,none,0.804758227331399,0.6671391948744104,0.5284280936454849,0.5892558456478646,0.8499829663710889,0.6678635858761967,0.8019872249822569,0.6655052264808362,0.5106951871657754,0.5779122541603631,0.8463341858482524,0.6597407942908037,939,96,183,191,0.52,0.8069552874378992,0.5736677115987461,0.4893048128342246,0.33,0.6420323325635104,0.7799858055358411,0.13,599.0,0.9224598930481284,
CatBoost native rich 4,rich,catboost-native,none,0.7523994446029242,0.5215740654282632,0.8133779264214047,0.6354971799219336,0.8503025123652668,0.667160461679778,0.7402413058907026,0.5067114093959731,0.8074866310160428,0.622680412371134,0.8439768529282596,0.6621215230260982,741,294,72,302,0.73,0.8026969481902059,0.5813253012048193,0.516042780748663,0.59,0.6349942062572422,0.7764371894960965,0.32,598.0,0.9171122994652406,212.0
GB rich 2,rich,ohe,none,0.8029834468345992,0.6662611150418024,0.5177257525083612,0.5824200586355821,0.8495259278548571,0.6666065818004656,0.8048261178140526,0.671280276816609,0.5187165775401069,0.5852187028657617,0.844706657366504,0.6599158423800543,940,95,180,194,0.5,0.8048261178140526,0.5852187028657617,0.5187165775401069,0.34,0.6350710900473934,0.7814052519517388,0.12,590.0,0.9331550802139037,
GB rich 3,rich,ohe,none,0.8051125214932678,0.6743138884461497,0.5163879598662207,0.5843837162504635,0.849175486887295,0.6663477275137533,0.8034066713981547,0.6701754385964912,0.5106951871657754,0.5796661608497724,0.8437960164302875,0.6581715971542427,941,94,183,191,0.49,0.8041163946061036,0.591715976331361,0.5347593582887701,0.32,0.6343713956170703,0.7750177430801988,0.12,601.0,0.93048128342246,
RF rich 1,rich,ohe,none,0.7996110329219339,0.6613398091749104,0.5043478260869565,0.5718717274710278,0.8477531888858157,0.6661579914866786,0.8069552874378992,0.6770833333333334,0.5213903743315508,0.5891238670694864,0.8469554883877135,0.6575508959372129,942,93,179,195,0.5,0.8069552874378992,0.5891238670694864,0.5213903743315508,0.33,0.6415525114155252,0.7771469127040455,0.15,585.0,0.9197860962566845,
XGB rich 3,rich,ohe,none,0.8044034603570365,0.6666970863340819,0.5270903010033445,0.5880912205130463,0.8481460857155456,0.6657439543443731,0.8055358410220014,0.6736111111111112,0.5187165775401069,0.5861027190332326,0.8489950657469838,0.6613036158209714,941,94,180,194,0.48,0.8069552874378992,0.6023391812865497,0.5508021390374331,0.31,0.6399108138238573,0.7707594038325053,0.14,591.0,0.9117647058823529,
GB rich 1,rich,ohe,none,0.8038704430725877,0.6696828670251852,0.5163879598662208,0.5827756314755078,0.8491415861805113,0.6655131903748062,0.8026969481902059,0.6655172413793103,0.516042780748663,0.5813253012048193,0.8443475677491025,0.6581457623252235,938,97,181,193,0.5,0.8026969481902059,0.5813253012048193,0.516042780748663,0.29,0.6380638063806381,0.7665010645848119,0.12,597.0,0.9331550802139037,
LR balanced smote rich,rich,ohe,smote,0.7527548419939448,0.5231511186897515,0.7719063545150501,0.6236043985535693,0.8449034410343194,0.6644697410484512,0.7402413058907026,0.5067114093959731,0.8074866310160428,0.622680412371134,0.8429874189464982,0.65173765758325,741,294,72,302,0.75,0.8069552874378992,0.5815384615384616,0.5053475935828877,0.57,0.6242905788876277,0.7650816181689141,0.3,587.0,0.9144385026737968,
ExtraTrees rich 1,rich,ohe,none,0.8001434197897245,0.6585061233988,0.5150501672240801,0.5776300064633946,0.8471195896627857,0.66312118272887,0.801277501774308,0.6587837837837838,0.5213903743315508,0.582089552238806,0.8437469322379808,0.6540521906193836,934,101,179,195,0.53,0.8055358410220014,0.5608974358974359,0.4679144385026738,0.33,0.6351039260969977,0.7757274662881476,0.15,593.0,0.9224598930481284,
HistGB rich 2,rich,ohe,none,0.8010313616527004,0.6589923034821249,0.5204013377926422,0.5811515987916471,0.8462909962938536,0.660854561031091,0.8041163946061036,0.6633333333333333,0.5320855614973262,0.5905044510385756,0.8459402206205274,0.6557717545254099,934,101,175,199,0.52,0.8119233498935415,0.5904173106646059,0.5106951871657754,0.26,0.6406743940990516,0.7579843860894251,0.15,602.0,0.9064171122994652,
LGBM rich 2,rich,ohe,none,0.7981908617953322,0.6509629806935869,0.5183946488294314,0.5767743763419395,0.845778263794221,0.6596071582818143,0.8105039034776437,0.6801346801346801,0.5401069518716578,0.6020864381520119,0.8477434188431632,0.6555353339762404,940,95,172,202,0.5,0.8105039034776437,0.6020864381520119,0.5401069518716578,0.26,0.6385669125395153,0.7565649396735273,0.13,586.0,0.9171122994652406,
HistGB rich 1,rich,ohe,none,0.8006764370741732,0.6584731608069851,0.5190635451505016,0.5801151022522232,0.8457125069045418,0.6582013600817123,0.8055358410220014,0.668918918918919,0.5294117647058824,0.591044776119403,0.84471311581286,0.6519200175772868,937,98,176,198,0.53,0.8069552874378992,0.5723270440251572,0.48663101604278075,0.27,0.6411075612353567,0.7608232789212207,0.15,596.0,0.9117647058823529,
RF rich 2,rich,ohe,none,0.7999665879171192,0.6634439090212169,0.5030100334448161,0.5715471024138619,0.8431220174787353,0.657651004489581,0.8005677785663591,0.6576271186440678,0.5187165775401069,0.5799701046337817,0.8455113797824794,0.6493779159890992,934,101,180,194,0.52,0.8026969481902059,0.5696594427244582,0.4919786096256685,0.31,0.6428571428571429,0.772888573456352,0.13,586.0,0.9331550802139037,
LGBM rich 3,rich,ohe,none,0.7564801316309981,0.5284012701508858,0.7678929765886288,0.625953267089253,0.8451316027693853,0.6567938127323895,0.7572746628814763,0.5284697508896797,0.7941176470588235,0.6346153846153846,0.8458975948745769,0.6565491338968914,770,265,77,297,0.74,0.8105039034776437,0.593607305936073,0.5213903743315508,0.47,0.6381647549530761,0.7537260468417317,0.41,588.0,0.8556149732620321,
LGBM rich 1,rich,ohe,none,0.7981911770036612,0.6513704715821882,0.5177257525083612,0.5763375329087517,0.8443025043747243,0.6566036201522445,0.8026969481902059,0.6643835616438356,0.5187165775401069,0.5825825825825826,0.8459789712986645,0.6539509168832348,937,98,180,194,0.54,0.8062455642299503,0.5673534072900158,0.4786096256684492,0.26,0.6392405063291139,0.7572746628814763,0.19,587.0,0.8716577540106952,
ExtraTrees rich 2,rich,ohe,none,0.7976597357608577,0.6507222964735,0.51438127090301,0.5744168561495681,0.8392002235749878,0.6485069687881,0.794889992902768,0.6384364820846905,0.5240641711229946,0.5756240822320118,0.8381229171510501,0.6385803975236168,924,111,178,196,0.52,0.7984386089425124,0.5735735735735735,0.5106951871657754,0.31,0.637911464245176,0.7735982966643009,0.17,595.0,0.8823529411764706,
